nu_ano_censo;co_ies;no_ies
2022;673;CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS
2022;707;CENTRO UNIVERSITÁRIO CENTRAL PAULISTA
2022;712;CENTRO UNIVERSITÁRIO IBMR
2022;716;FACULDADES INTEGRADAS DE BOTUCATU
2022;718;UNIVERSIDADE POTIGUAR
2022;721;FACULDADE DE ASSIS
2019;722;ESCOLA DE EDUCAÇÃO FÍSICA DE ASSIS
2019;723;FACULDADE DE ADMINISTRAÇÃO DE ASSIS
2022;730;UNIVERSIDADE ESTADUAL DE PONTA GROSSA
2022;734;FACULDADES INTEGRADAS MARIA IMACULADA
2022;737;CENTRO UNIVERSITÁRIO SÃO CAMILO
2022;738;CENTRO UNIVERSITÁRIO TERESA D'ÁVILA
2022;745;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SÃO MANUEL
2020;778;FACULDADE IBRA DOS VALES
2022;790;Faculdade Israelita de Ciências da Saúde Albert Einstein
2022;793;Centro Universitário Estácio de São Paulo
2022;802;CENTRO UNIVERSITÁRIO UNICARIOCA
2019;831;FACULDADE DE CIÊNCIAS HUMANAS DO VALE DO RIO GRANDE
2022;843;FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI
2022;845;FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA
2022;852;FIAP - Centro Universitário
2022;881;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS
2022;882;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI
2022;886;FACULDADE DE HORTOLÂNDIA
2022;898;Centro Universitário Unisan
2022;905;FACULDADE ESCOLA PAULISTA DE DIREITO
2022;910;FACULDADE SANTA LÚCIA
2022;922;FACULDADE REGES DE DRACENA
2022;923;CENTRO UNIVERSITÁRIO SÃO ROQUE
2022;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande
2022;952;UNIVERSIDADE SANTA CECÍLIA
2022;953;UNIVERSIDADE METROPOLITANA DE SANTOS
2022;967;FACULDADE DE TECNOLOGIA DE TAQUARITINGA
2022;997;Centro Universitário de Bauru
2022;1032;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO
2021;1041;UNIVERSIDADE DO VALE DO TAQUARI
2022;1042;UNIVERSIDADE POSITIVO
2022;1043;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO
2022;1045;CENTRO UNIVERSITÁRIO ANHANGÜERA
2022;1046;UNIÃO DAS FACULDADES DOS GRANDES LAGOS
2022;1048;FACULDADE CAMPOS ELÍSEOS
2022;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB
2022;1092;FACULDADES INTEGRADAS DE BAURU
2022;1096;FACULDADE DE PRESIDENTE EPITÁCIO - FAPE
2022;1100;Centro Universitário Carlos Drummond de Andrade
2022;1118;FACULDADE DE MIRASSOL
2022;1122;FACULDADE REGES DE OSVALDO CRUZ
2022;1129;CENTRO UNIVERSITÁRIO DO NORTE DE SÃO PAULO
2020;1139;FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS - FEAD-MG
2022;1144;FACULDADE DE CIÊNCIAS HUMANAS
2022;1149;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO
2021;1150;Faculdade de Tecnologia Senai Theobaldo de Nigris
2022;1161;INSPER INSTITUTO DE ENSINO E PESQUISA
2023;1162;FACULDADE DE ALTA FLORESTA
2022;1182;INSTITUTO DE ENSINO SUPERIOR DE AMERICANA
2022;1187;CENTRO UNIVERSITÁRIO MÓDULO
2022;1190;FACULDADE INTEGRAL CANTAREIRA
2019;1192;FACULDADE DE CIÊNCIAS DA SAÚDE DE SÃO PAULO
2022;1195;FACULDADE SENAI DE TECNOLOGIA MECATRÔNICA
2022;1196;UNIVERSIDADE CESUMAR
2022;1205;CENTRO UNIVERSITÁRIO FAEL
2019;1212;FACULDADE DE CIÊNCIAS CONTÁBEIS DE ASSIS
2019;1213;FACULDADE FLEMING
2022;1219;INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR
2022;1221;Escola Superior de Agronomia de Paraguaçu Paulista
2022;1224;CENTRO UNIVERSITÁRIO DE JALES
2022;1225;CENTRO UNIVERSITÁRIO AMPARENSE
2022;1230;CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL
2022;1232;CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE
2022;1255;Centro Universitário FBV Wyden
2022;1266;FACULDADES INTEGRADAS URUBUPUNGÁ
2022;1270;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO
2022;1273;Centro Universitário Campo Limpo Paulista
2022;1275;FACULDADE DO GUARUJÁ
2022;1276;INSTITUTO TAUBATÉ DE ENSINO SUPERIOR
2022;1279;FACULDADE DE ITÁPOLIS - FACITA
2019;1280;Faculdade Estácio Cotia
2022;1281;FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA
2022;1286;Faculdade de Tecnologia Senai Mario Amato
2022;1290;Faculdade Álvares de Azevedo
2022;1292;Centro Universitário de Adamantina
