linha,nome,operadora,data_pesquisa,faixa_horaria,passageiros,partidas,passageiros_viagem,tempo_viagem_min
272,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,6,56,3,18.7,26
273,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,7,50,4,12.5,27
274,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,8,14,2,7.0,30
275,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,9,19,3,6.3,31
276,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,10,24,2,12.0,35
277,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,11,22,2,11.0,36
278,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,12,35,2,17.5,35
279,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,13,40,2,20.0,34
280,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,14,48,2,24.0,35
281,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,15,59,2,29.5,39
282,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,16,72,2,36.0,39
283,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,17,90,3,30.0,41
284,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,18,82,3,27.3,43
285,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,19,26,2,13.0,37
286,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,20,42,2,21.0,33
287,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,21,31,2,15.5,38
288,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,22,32,1,32.0,38
289,Linha 46 (Mary Dota-Centro) PF2-PF1,Grande Bauru,3/04/2013,23,20,2,10.0,28
290,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,6,17,1,17.0,27
291,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,7,22,1,22.0,26
292,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,8,5,1,5.0,26
293,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,9,11,1,11.0,29
294,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,10,8,1,8.0,26
295,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,11,6,1,6.0,27
296,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,12,10,1,10.0,32
297,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,13,25,1,25.0,32
298,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,14,10,1,10.0,27
299,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,15,4,1,4.0,25
300,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,16,7,1,7.0,32
301,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,17,4,1,4.0,28
302,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,18,9,1,9.0,25
303,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,19,1,1,1.0,31
304,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,20,1,1,1.0,21
305,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,21,3,1,3.0,20
306,Linha 66 (Pq. City - Centro) PF1-PF2,,3/04/2013,22,1,1,1.0,17
307,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,6,9,1,9.0,24
308,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,7,10,1,10.0,27
309,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,8,1,1,1.0,30
310,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,9,1,1,1.0,31
311,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,10,7,1,7.0,25
312,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,11,6,1,6.0,33
313,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,12,7,1,7.0,27
314,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,13,5,1,5.0,29
315,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,14,13,1,13.0,31
316,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,15,20,1,20.0,35
317,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,16,26,1,26.0,36
318,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,18,38,1,38.0,34
319,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,19,13,1,13.0,30
320,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,20,16,1,16.0,25
321,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,21,15,1,15.0,25
322,Linha 66 (Pq. City - Centro) PF2-PF1,,3/04/2013,22,14,1,14.0,24
323,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,6,56,1,56.0,46
324,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,7,34,1,34.0,33
325,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,9,12,1,12.0,36
326,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,11,25,1,25.0,36
327,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,12,22,1,22.0,38
328,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,13,15,1,15.0,40
329,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,14,26,1,26.0,40
330,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,15,26,1,26.0,44
331,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,16,44,1,44.0,42
